tolerence 0.5 thresholdEpoch 1/50 | Loss: 0.3219 | Precision: 0.0000 | Recall: 0.0010 | F1: 0.0001
Epoch 1/1000 | Loss: 0.3185 | Precision: 0.0000 | Recall: 0.0013 | F1: 0.0001
Epoch 2/1000 | Loss: 0.1137 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 3/1000 | Loss: 0.0707 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 4/1000 | Loss: 0.0581 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 5/1000 | Loss: 0.0530 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 6/1000 | Loss: 0.0508 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 7/1000 | Loss: 0.0495 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 8/1000 | Loss: 0.0487 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 9/1000 | Loss: 0.0482 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 10/1000 | Loss: 0.0478 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 11/1000 | Loss: 0.0476 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 12/1000 | Loss: 0.0475 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 13/1000 | Loss: 0.0473 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 14/1000 | Loss: 0.0470 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 15/1000 | Loss: 0.0479 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 16/1000 | Loss: 0.0488 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 17/1000 | Loss: 0.0474 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 18/1000 | Loss: 0.0471 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 19/1000 | Loss: 0.0467 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 20/1000 | Loss: 0.0465 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 21/1000 | Loss: 0.0465 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 22/1000 | Loss: 0.0465 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 23/1000 | Loss: 0.0463 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 24/1000 | Loss: 0.0487 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 25/1000 | Loss: 0.0479 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 26/1000 | Loss: 0.0476 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 27/1000 | Loss: 0.0472 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
Epoch 28/1000 | Loss: 0.0470 | Precision: 0.0000 | Recall: 0.0000 | F1: 0.0000
